,White,White_Forced_Labour,Black,Black_Forced_Labour,White_Police,Black_Police,White_Prison,Black_Prison
White,5.273907789,0.4309762805,0,0,0.01987202576,0.004841654261,0.004278535456,0
White_Forced_Labour,3.390369293,10.41331595,0,2.720883084,0.0127748737,0.003112492025,0.002750487079,0
Black,0,0,5.168369638,0.5262900121,0.02417486862,0.01922641297,0,0.01298127393
Black_Forced_Labour,0,10.13625977,3.322523339,3.059212377,0.02417486862,0.008706192216,0,0.008345104672
White_Police,8.069693152,0.6594439036,1.829390738,0.1862850649,7.288211695,2.623244681,0.006546657555,0.004594838211
Black_Police,1.685183635,0.1377108216,3.981349149,0.4054168797,10.62078163,3.831667605,0.001367130071,0.009999862152
White_Prison,0,0,0,0,0,0,0,0
Black_Prison,0,0,0,0,0,0,0,0
