Group,Population_Proportion,Population_Size,Initial_Infection_Rate,Initial_Infections
White,0.53603,2680142.205,0.000011,29.37842127
White_Forced_Labour,0.06797,339857.795,0.000011,3.725356607
Black,0.11892,594601.0852,0.000011,6.517729222
Black_Forced_Labour,0.01508,75398.91477,0.000011,0.8264863996
White_Police,0.00168,8392.322222,0.000011,0.09199257308
Black_Police,0.00272,13608.94035,0.000011,0.1491746153
White_Prison,0.00332,16609.75786,0.000011,0.1820681241
Black_Prison,0.00296,14818.54615,0.000011,0.1624337286
